neigb_cijf,Gross population density,Average age of population,Grey pressure (65+ as % of 15 to 64-year-olds),Green pressure (-14 as % of 15 to 64-year-olds),% Dutch natives,% private households with a low income,% private households with an average income,% private households with a high income,"Number of establishments, transportation and storage",Number of medical facilities,gross non-housing density (BAG),non-housing density (rateable value (OZB)),gross housing density (BAG),All offences,% companies,Bouw,Number of residents per 1-
23 Spoorwijk,130.1,33.9,9.5,30.9,22.3,54.3,34.3,11.4,14.0,3.0,1.2,2.7,48.7,235.0,0.0,95.0,4299.0
24 Laakkwartier-West,174.6,34.5,10.2,24.9,31.0,54.1,39.1,6.8,18.0,12.0,5.1,2.3,76.8,530.0,5.7,413.0,8015.0
25 Laakkwartier-Oost,203.2,34.5,11.5,23.6,32.5,55.3,39.6,5.1,25.0,8.0,5.2,2.2,93.8,648.0,13.5,507.0,11099.0
26 Noordpolderbuurt,171.6,33.8,10.2,24.4,16.0,64.7,30.6,4.7,24.0,12.0,3.8,2.1,80.0,714.0,4.7,257.0,8349.0
30 Rustenburg,181.2,36.3,15.1,24.4,49.3,51.7,40.4,7.9,12.0,3.0,3.1,2.1,87.5,256.0,13.3,215.0,6103.0
31 Oostbroek-Noord,199.8,34.0,9.7,24.9,32.6,49.4,43.9,6.7,13.0,14.0,7.7,2.2,90.7,256.0,2.8,182.0,4501.0
32 Transvaalkwartier-Noord,215.0,35.1,13.5,25.7,9.2,71.3,24.0,4.7,15.0,3.0,7.4,2.2,95.9,268.0,20.9,128.0,3972.0
33 Transvaalkwartier-Midden,182.4,34.4,17.3,36.1,7.5,61.1,31.6,7.3,16.0,8.0,6.6,2.7,67.4,429.0,4.9,143.0,4985.0
34 Transvaalkwartier-Zuid,201.0,33.0,9.5,30.6,6.5,58.4,33.0,8.6,23.0,8.0,5.0,2.9,68.9,951.0,8.3,254.0,7260.0
35 Oostbroek-Zuid,216.5,33.0,8.1,26.5,27.6,51.4,42.2,6.4,13.0,9.0,5.2,2.3,92.2,479.0,2.7,338.0,8126.0
36 Zuiderpark,1.3,72.2,340.7,3.7,82.5,84.0,16.0,0.0,0.0,0.0,0.4,1.2,1.1,206.0,5.1,2.0,120.0
37 Moerwijk-West,124.1,37.7,21.6,31.6,26.9,79.0,18.3,2.7,18.0,6.0,3.8,1.9,64.8,507.0,1.7,113.0,6177.0
38 Moerwijk-Noord,151.1,35.5,14.5,28.6,28.1,62.0,32.5,5.5,12.0,4.0,1.5,2.2,67.5,515.0,5.1,254.0,6994.0
39 Moerwijk-Zuid,104.3,33.5,13.2,30.8,28.5,71.5,20.9,7.6,15.0,7.0,1.9,1.9,55.8,259.0,9.4,70.0,4286.0
40 Nieuw Waldeck,119.6,43.1,34.8,25.9,64.5,54.9,35.5,9.6,16.0,6.0,1.7,2.0,60.6,287.0,0.7,210.0,7274.0
41 Zorgvliet,5.8,50.6,69.1,23.0,57.7,20.3,30.7,49.0,0.0,2.0,1.4,1.4,4.0,114.0,0.5,29.0,492.0
42 Stadhoudersplantsoen,87.2,42.8,34.4,22.5,56.8,40.0,38.5,21.5,1.0,3.0,4.6,1.6,53.3,94.0,3.7,21.0,1888.0
43 Sweelinckplein eo,134.6,37.2,15.3,24.1,60.6,34.7,32.0,33.4,1.0,12.0,6.3,2.0,67.2,244.0,9.9,81.0,5773.0
44 Koningsplein eo,179.8,36.3,11.9,18.7,56.0,51.0,29.5,19.5,11.0,10.0,7.5,1.9,95.4,436.0,10.7,135.0,7482.0
45 Zeeheldenkwartier,144.3,37.2,13.1,16.8,53.3,54.3,29.2,16.5,12.0,24.0,10.8,1.8,82.0,722.0,8.0,193.0,11688.0
46 Archipelbuurt,69.1,43.6,32.8,21.0,58.9,35.4,31.4,33.3,2.0,12.0,5.0,1.6,42.4,288.0,6.0,213.0,5945.0
47 Willemspark,45.0,41.8,23.9,16.4,50.7,38.9,33.7,27.4,0.0,7.0,9.5,1.3,34.5,118.0,1.8,159.0,1503.0
48 Nassaubuurt,56.6,40.9,32.5,32.7,57.2,21.4,27.9,50.7,3.0,4.0,4.4,2.2,26.1,77.0,2.7,38.0,1601.0
49 Haagse Bos,3.6,54.6,75.3,10.6,52.4,45.8,39.6,14.6,1.0,0.0,0.3,1.0,3.7,106.0,0.0,47.0,422.0
50 Bloemenbuurt-West,85.5,45.9,40.9,26.9,77.5,24.8,44.6,30.6,1.0,6.0,4.7,2.1,41.2,64.0,0.0,33.0,2319.0
51 Bloemenbuurt-Oost,108.7,41.7,30.0,25.3,70.3,34.4,44.8,20.8,1.0,8.0,4.6,1.9,57.2,273.0,7.2,86.0,6449.0
52 Bomenbuurt,112.9,42.3,30.2,23.8,66.1,37.5,42.6,19.8,4.0,17.0,8.0,1.8,61.6,268.0,5.3,139.0,5841.0
53 Vruchtenbuurt,132.5,39.9,23.7,28.2,74.7,25.3,44.7,29.9,5.0,25.0,4.6,2.2,60.0,215.0,10.3,112.0,7043.0
54 Heesterbuurt,165.3,36.7,13.6,22.0,57.8,53.2,37.1,9.7,14.0,10.0,4.8,1.9,88.3,297.0,22.7,178.0,6754.0
55 Valkenboskwartier,177.0,36.3,12.5,20.1,46.5,51.0,35.4,13.6,28.0,12.0,8.2,1.9,90.9,691.0,14.8,287.0,11532.0
